name_a,type_a,name_b,type_b,similarity,confidence,reason
ssl 紀錄協定,feature,ssl 協定,feature,0.8756,0.9,節點 A 和節點 B 的名稱語意相近，ssl 紀錄協定和 ssl 協定都指涉及 ssl 的協定
ssl/tls 交握協定,feature,ssl 協定,feature,0.8743,0.9,節點 A 和節點 B 都指涉 SSL/TLS 的安全協定，名稱語意相近
金鑰儲存,feature,金鑰封存,feature,0.8675,0.9,金鑰儲存和金鑰封存是同義詞
ssl/tls 交握協定,feature,tls 協議,feature,0.8668,0.9,節點 A 和節點 B 都指涉 TLS 協議，ssl/tls 交握協定包含了 TLS 協議的內容
網路協定,feature,通訊協定,feature,0.8613,0.9,網路協定和通訊協定是同義詞
tls,feature,tls 協議,feature,0.86,0.9,節點 A 和節點 B 的名稱語意等價，tls 和 tls 協議 指稱同一個概念
ipv4,feature,ip,feature,0.8593,0.8,ipv4 是 ip 的一個特定版本，兩者相關但 ipv4 是 ip 的一個子集
堆疊,feature,堆疊 (stack),feature,0.8542,1.0,兩節點名稱語意等價，節點 B 的括號內容提供了英文標準化形式
資產安全,feature,安全性,feature,0.8525,0.9,資產安全和安全性是同義詞
加密技術,feature,加密,feature,0.8524,0.9,節點 A 和節點 B 的名稱語意等價，都是指加密的概念
多輪運算 (iteration),feature,多輪運算,feature,0.852,1.0,兩節點名稱語意等價
ip 層,feature,網際網路層,feature,0.8476,0.9,ip 層和網際網路層是同義詞
ip,feature,ip 位址,feature,0.8463,0.9,節點 A 和節點 B 的名稱語意等價，均指稱 IP 位址
開放連接埠,feature,tcp連接埠,feature,0.8438,0.8,兩節點名稱語意相關，tcp連接埠是一種開放連接埠
交點錯誤率,feature,交叉錯誤率,feature,0.8433,0.9,交點錯誤率和交叉錯誤率是同義詞
網路協定,feature,協定,feature,0.8405,0.8,節點 A 和節點 B 的名稱語意相近，網路協定是一種協定的具體類型
通訊協定,feature,協定,feature,0.8389,0.9,通訊協定和協定在此語境下是同義詞
ssl 協定,feature,tls 協議,feature,0.8373,0.9,ssl 協定和 tls 協議是同義詞，tls 是 ssl 的後繼版本
連接埠號碼,feature,連接埠,feature,0.837,0.9,連接埠號碼和連接埠是相關的概念，且連接埠號碼可以被視為連接埠的特性
分析層,feature,分析,feature,0.8363,0.8,分析層和分析是相關的概念，且分析層可以被視為分析的具體化形式
環境安全,feature,安全性,feature,0.8362,0.8,環境安全和安全性是同義詞
tls/ssl,feature,tls 協議,feature,0.8329,0.9,節點 A 和節點 B 的名稱語意相近，tls/ssl 和 tls 協議都指涉加密通訊協議
使用者決定系統保護,feature,使用者決定資料保護措施,feature,0.8325,0.8,節點 A 和節點 B 的名稱語意相近，均涉及使用者對系統或資料的保護決定
最快恢復時間,feature,故障復原時間,feature,0.8319,0.9,兩節點名稱語意等價，指稱系統或工具恢復故障的時間
特徵碼,feature,流量特徵碼,feature,0.8305,0.8,節點 A 和節點 B 的名稱語意相近，均與特徵碼相關
金鑰封存,feature,金鑰保護機制,feature,0.8301,0.8,金鑰封存和金鑰保護機制在功能特性上語意相近
應用程式安全,feature,應用程式域安全 (application domain security),feature,0.8271,0.8,節點名稱語意相近，應用程式安全和應用程式域安全都指涉系統或工具的安全特性
ssl安全交易協定,feature,tls 協定,feature,0.8253,0.9,SSL 和 TLS 是安全交易協定的不同名稱，TLS 是 SSL 的後繼版本
ip 層,feature,傳輸層,feature,0.8221,0.8,ip 層和傳輸層在網路協議中是同義詞
資料鏈結層,feature,連結層,feature,0.821,0.8,資料鏈結層和連結層為同義詞
傳輸協定,feature,協定,feature,0.8208,0.8,傳輸協定和協定在此語境下是同義詞
網路協定,feature,傳輸協定,feature,0.8198,0.8,網路協定和傳輸協定在此語境下是同義詞
權限設定,feature,使用者權限,feature,0.8198,0.9,節點 A 和節點 B 的名稱語意相近，均指涉系統中與使用者權限相關的設定
密碼模組進出埠與存取介面,feature,密碼模組介面,feature,0.8193,0.8,節點名稱語意相近，均指涉密碼模組的介面
實體控制,feature,技術控制,feature,0.8185,0.8,實體控制和技術控制在特定語境下可能被視為同義詞
網路分享,feature,共享資源,feature,0.8176,0.8,網路分享和共享資源的名稱語意相近，均指涉及資源的共用
網際網路層,feature,網路存取層,feature,0.816,0.8,網際網路層和網路存取層在此語境下為同義詞
ssl安全交易協定,feature,tls 協議,feature,0.811,0.9,SSL 和 TLS 都是安全交易協定的名稱，TLS 是 SSL 的後繼版本
ipv4,feature,ip 位址,feature,0.8107,0.9,ipv4 是 ip 位址的一種特定形式
交叉錯誤率 (cer),feature,交叉錯誤率,feature,0.8102,1.0,兩節點名稱語意等價
osi 第 7 層,feature,l7 layer,feature,0.8091,1.0,OSI 第 7 層與 L7 Layer 是同義詞
協定,feature,ssl 協定,feature,0.806,0.8,節點 A 和節點 B 都與協定相關，節點 B 的 ssl 協定是特定的一種協定，可能是節點 A 的具體實現
埠號,feature,服務埠,feature,0.8055,0.9,節點 A 和節點 B 的名稱語意等價，都是指系統或工具的埠號
實體安全,feature,實體保護機制,feature,0.8053,0.8,實體安全和實體保護機制在語意上相近，可能是同義詞或一個是另一個的標準化形式
程式化保護功能,feature,實體保護機制,feature,0.805,0.8,程式化保護功能和實體保護機制在語意上相近，可能指稱系統或工具的保護功能特性
堆疊,feature,堆積 (heap),feature,0.8038,0.9,堆疊和堆積都是描述資料結構的術語，兩者在計算機科學中指稱相同的概念
開放連接埠,feature,通訊埠,feature,0.8012,0.9,節點 A 和節點 B 的名稱語意等價，都是指系統或工具的連接埠
非對稱加密,function,非對稱式加密,function,0.9809,0.9,節點 A 和節點 B 的名稱語意等價，都是指非對稱加密的概念
身分驗證,function,身分認證,function,0.9703,0.9,身分驗證和身分認證是同義詞
網站安全開發,function,安全開發,function,0.9393,0.8,節點 A 和節點 B 的名稱語意相近，均指涉安全開發的概念
資安稽核,function,安全稽核,function,0.9218,0.9,資安稽核和安全稽核是同義詞
安全稽核,function,稽核與安全監視,function,0.9099,0.8,安全稽核和稽核與安全監視的名稱語意相近，均涉及安全檢查和監視
資安設備管理,function,設備管理,function,0.9072,0.8,兩節點名稱語意相近，且都涉及管理功能
網路存取控管,function,存取控管,function,0.9026,0.8,節點 A 和節點 B 的名稱語意相近，均指涉存取控管的概念
身份鑑別,function,身分認證,function,0.8922,0.9,身份鑑別和身分認證是同義詞
身分驗證,function,身份鑑別,function,0.8899,0.9,身分驗證和身份鑑別是同義詞
集中權限控管,function,權限控管,function,0.8867,0.8,節點 A 和節點 B 的名稱語意相近，均指涉權限控管的概念
管制人員出入,function,進出通道管制,function,0.8758,0.8,兩節點名稱語意相近，均涉及管制出入的概念
查詢功能,function,查詢,function,0.8742,0.9,查詢功能和查詢是語意等價的表達
安全事件管理,function,資安事件管理,function,0.8741,0.9,安全事件管理和資安事件管理是同義詞
計帳 (accounting),function,accounting,function,0.8727,1.0,兩節點名稱語意等價
系統存取控制管理,function,存取控管,function,0.8718,0.8,節點 A 和節點 B 的名稱語意相近，均指涉存取控制的概念
開發與測試,function,應用軟體開發與測試,function,0.8667,0.8,節點名稱語意相近，均涉及開發與測試
權限管理,function,權限控管,function,0.8661,0.9,兩節點名稱語意等價，權限管理和權限控管是同義詞
保密功能,function,密碼功能,function,0.8655,0.8,保密功能和密碼功能在資安領域中常被視為同義詞
解密,function,訊息解密,function,0.8546,0.9,節點 A 和節點 B 的名稱語意相近，解密和訊息解密都指涉加密訊息的解碼過程
審查,function,稽核與確認,function,0.8505,0.8,審查和稽核與確認在特定情境下可視為同義詞
辨識,function,辨識功能,function,0.8434,0.9,兩節點名稱語意等價
資安稽核,function,稽核與確認,function,0.8424,0.8,兩節點名稱語意相近，皆指涉資安檢查或評估
偵測層級,function,辨識層級,function,0.8386,0.9,偵測層級和辨識層級在此語境下為同義詞
安全稽核,function,稽核與確認,function,0.8376,0.8,安全稽核和稽核與確認在本體論類別function下具有相似的語意含義
雜湊,function,雜湊計算,function,0.833,0.9,雜湊和雜湊計算語意等價
網路存取控管,function,系統存取控制管理,function,0.8283,0.9,節點名稱語意相近，均指涉存取控管
安全存取控制,function,存取控管,function,0.8267,0.9,安全存取控制和存取控管是同義詞
系統存取控制管理,function,安全存取控制,function,0.8266,0.8,系統存取控制管理和安全存取控制是同義詞，指稱控制系統存取的安全功能
數位憑證認證,function,身分認證,function,0.8255,0.8,數位憑證認證和身分認證在本體論類別function下具有相似的語意含義
身份驗證流程,function,身分認證,function,0.8248,0.9,身份驗證流程和身分認證是同義詞
雜湊演算法,function,雜湊計算,function,0.8234,0.9,雜湊演算法和雜湊計算語意等價
即時監看資安事件,function,資安事件監看,function,0.8206,0.9,兩節點名稱語意相近，均指資安事件的監看功能
權限管理,function,權限管理 (authorization),function,0.8206,1.0,兩節點名稱語意等價
安全事件管理,function,資安警訊管理,function,0.8194,0.8,安全事件管理和資安警訊管理在本體論類別function下具有相近的語意含義
雜湊函數,function,雜湊計算,function,0.8174,0.9,雜湊函數和雜湊計算是同義詞
網路存取控管,function,安全存取控制,function,0.8172,0.8,網路存取控管和安全存取控制是同義詞
保密功能,function,資料保密,function,0.8129,0.9,節點名稱語意相近，保密功能和資料保密都指涉資料的隱私保護
資安弱點管理,function,缺陷管理,function,0.8075,0.8,資安弱點管理和缺陷管理是相關的概念，且缺陷管理可以被視為資安弱點管理的一部分
審查,function,驗章,function,0.8068,0.8,審查和驗章在特定情境下可能是同義詞
辨識層級,function,辨識,function,0.8058,0.8,辨識層級和辨識是相關的概念，且前者可以被視為後者的具體化形式
權限控管,function,存取控管,function,0.8026,0.9,權限控管和存取控管是同義詞，均指控管存取權限
等級審核,function,審查,function,0.8005,0.8,等級審核和審查在此語境下為同義詞
阻絕服務攻擊 (dos),attack,阻斷服務攻擊 (dos),attack,0.9964,1.0,兩節點名稱語意等價，都是描述阻絕或阻斷服務攻擊的同義詞
阻絕服務攻擊,attack,阻斷服務攻擊,attack,0.9913,0.9,兩節點名稱語意等價，都是指阻絕或阻斷服務的攻擊行為
身份盜竊,attack,身份竊盜,attack,0.9902,0.9,身份盜竊和身份竊盜是同義詞
ic 卡攻擊,attack,ic卡攻擊,attack,0.9893,1.0,兩節點名稱語意等價
中間人攻擊(mitm),attack,中間人攻擊 (mitm),attack,0.9891,1.0,兩節點名稱語意完全相同
syn 洪水攻擊,attack,syn洪水攻擊,attack,0.9795,1.0,兩節點名稱語意等價
惡意軟體之攻擊,attack,惡意軟體攻擊,attack,0.9795,0.9,兩節點名稱語意等價，惡意軟體之攻擊和惡意軟體攻擊指稱同一概念
邏輯攻擊,attack,邏輯性攻擊,attack,0.9794,0.9,邏輯攻擊和邏輯性攻擊是語意等價的表達
未經授權存取,attack,未授權存取,attack,0.9768,0.9,兩節點名稱語意等價
密碼破解攻擊,attack,密碼攻擊,attack,0.9744,0.8,密碼破解攻擊是密碼攻擊的一種特定形式
未經授權存取,attack,未經授權的存取,attack,0.973,0.9,兩節點名稱語意等價
分散式阻斷服務 (ddos) 攻擊,attack,分散式阻斷服務攻擊 (ddos),attack,0.9727,1.0,兩節點名稱語意等價
分散式阻斷服務 (ddos),attack,分散式阻斷服務攻擊 (ddos),attack,0.9726,0.9,兩節點名稱語意等價，都是描述分散式阻斷服務攻擊
資料篡改,attack,資料竄改,attack,0.9723,0.9,資料篡改和資料竄改是同義詞
未授權存取,attack,未經授權的存取,attack,0.9704,0.9,節點 A 和節點 B 的名稱語意等價，都是描述未經授權的存取行為
dos/ddos 攻擊,attack,ddos 攻擊,attack,0.9696,0.9,節點 A 和節點 B 都指稱分布式拒絕服務攻擊，僅名稱略有不同
network attack,attack,網路攻擊,attack,0.9676,1.0,節點 A 和節點 B 的名稱語意等價，都是指網路攻擊的行為
篡改,attack,竄改,attack,0.961,0.9,篡改和竄改是同義詞
竊取,attack,盜竊,attack,0.9602,0.9,竊取和盜竊是同義詞
網路安全威脅,attack,網路威脅,attack,0.9587,0.9,網路安全威脅和網路威脅在攻擊行為或攻擊手法的本體論類別下語意相近
smurf attack,attack,smurf 攻擊,attack,0.9565,0.9,smurf attack 和 smurf 攻擊是同義詞
sql injection 攻擊,attack,sql injection 隱碼攻擊,attack,0.9518,0.9,兩節點名稱語意相近，sql injection 攻擊和 sql injection 隱碼攻擊都指的是利用 SQL 注入漏洞進行攻擊的行為
未授權存取,attack,非授權存取,attack,0.9517,0.9,未授權存取和非授權存取是同義詞
電腦病毒,attack,病毒,attack,0.9517,0.9,節點 A 和節點 B 的名稱語意等價，都是指電腦病毒
彩虹表攻擊,attack,彩虹攻擊,attack,0.9462,0.9,兩節點名稱語意等價，都是描述攻擊行為的同義詞
分散式阻斷服務 (ddos),attack,分散式阻斷服務 (ddos) 攻擊,attack,0.9456,0.9,兩節點名稱語意等價，都是描述分散式阻斷服務的攻擊行為
未經授權的存取,attack,非授權存取,attack,0.9447,0.9,兩節點名稱語意等價，均指未經授權的存取行為
攻擊方法,attack,攻擊手段,attack,0.9431,0.9,攻擊方法和攻擊手段是同義詞
密碼驗證攻擊,attack,密碼攻擊,attack,0.943,0.8,密碼驗證攻擊是密碼攻擊的一種特定形式
駭客攻擊,attack,網路攻擊,attack,0.9401,0.8,駭客攻擊和網路攻擊在本體論類別attack下具有相似的語意含義
密碼破解攻擊,attack,暴力密碼攻擊,attack,0.9392,0.9,密碼破解攻擊和暴力密碼攻擊是同義詞
未經授權存取,attack,非授權存取,attack,0.938,0.9,兩節點名稱語意等價，均指未經授權的存取行為
tcp/ip 連線劫持,attack,tcp/ip 劫持,attack,0.9365,0.9,tcp/ip 連線劫持和tcp/ip 劫持語意等價
密碼驗證攻擊,attack,密碼破解攻擊,attack,0.9333,0.9,密碼驗證攻擊和密碼破解攻擊是密碼攻擊的同義詞
隱碼攻擊,attack,資料隱碼攻擊,attack,0.9319,0.9,節點 A 和節點 B 的名稱語意相近，隱碼攻擊和資料隱碼攻擊指稱同一概念
資訊安全威脅,attack,資安威脅,attack,0.9309,0.9,兩節點名稱語意等價，都是指資訊安全方面的威脅
帳號盜用,attack,盜用帳號及密碼,attack,0.929,0.9,帳號盜用和盜用帳號及密碼指稱相同的攻擊行為
資料篡改攻擊,attack,資料干擾攻擊,attack,0.9267,0.8,資料篡改攻擊和資料干擾攻擊在攻擊行為或攻擊手法的本體論類別下具有相似的語意含義
ddos 攻擊,attack,ddos攻擊,attack,0.9253,1.0,節點 A 和節點 B 的名稱語意等價
駭客攻擊,attack,駭客入侵,attack,0.9241,0.9,駭客攻擊和駭客入侵在本體論類別attack下是同義詞
駭客攻擊,attack,network attack,attack,0.9221,0.9,駭客攻擊和 network attack 都指涉網路攻擊行為
網路攻擊手法,attack,web 攻擊手法,attack,0.9194,0.9,網路攻擊手法和web攻擊手法是同義詞
釣魚攻擊,attack,釣魚式攻擊,attack,0.9189,0.9,兩節點名稱語意等價，都是指釣魚攻擊的行為
資安事件,attack,資通安全事件,attack,0.9161,0.9,兩節點名稱語意等價，資安事件和資通安全事件是同義詞
ddos攻擊,attack,ddos,attack,0.9155,0.9,節點A和節點B的名稱語意等價，都是指DDoS攻擊
惡意入侵事件,attack,入侵事件,attack,0.9153,0.8,兩節點名稱語意相近，惡意入侵事件和入侵事件都指涉攻擊行為
帳號盜用,attack,冒用帳號,attack,0.9152,0.9,帳號盜用和冒用帳號是同義詞
網路安全威脅,attack,資安威脅,attack,0.9122,0.9,網路安全威脅和資安威脅是同義詞
dns 放大攻擊,attack,dns攻擊,attack,0.9113,0.9,dns 放大攻擊是 dns 攻擊的一種特定形式
網路攻擊手法,attack,攻擊方法,attack,0.9077,0.9,節點 A 和節點 B 的名稱語意相近，均指涉攻擊的方法或手法
密碼驗證攻擊,attack,暴力密碼攻擊,attack,0.9059,0.9,密碼驗證攻擊和暴力密碼攻擊是同義詞
電腦安全事件,attack,資訊安全事故,attack,0.9058,0.9,電腦安全事件和資訊安全事故是同義詞
勒索程式,attack,勒索軟體,attack,0.9036,0.9,節點 A 和節點 B 的名稱語意等價，都是指利用軟體進行勒索的行為
注入攻擊,attack,注入 (injection) 攻擊,attack,0.9023,1.0,兩節點名稱語意等價，都是指注入攻擊
udp 泛洪攻擊,attack,udp 封包攻擊,attack,0.9023,0.9,udp 泛洪攻擊和udp 封包攻擊在攻擊行為或攻擊手法的本體論類別中是語意等價的
跨網站腳本攻擊,attack,跨站腳本攻擊,attack,0.9015,0.9,兩節點名稱語意等價，跨網站腳本攻擊和跨站腳本攻擊是同義詞
病毒程式,attack,病毒,attack,0.9005,0.9,節點 A 和節點 B 的名稱語意相近，均指稱病毒相關的攻擊行為或攻擊手法
tcp syn 洪水攻擊,attack,tcp syn flood 攻擊,attack,0.9003,1.0,tcp syn 洪水攻擊和tcp syn flood 攻擊是同義詞
入侵事件,attack,入侵,attack,0.9,0.9,入侵事件和入侵是同義詞，指稱相同的攻擊行為或攻擊手法
駭客攻擊,attack,入侵攻擊,attack,0.8991,0.9,駭客攻擊和入侵攻擊在攻擊行為或攻擊手法的本體論類別下是同義詞
資安威脅,attack,威脅,attack,0.8983,0.8,兩節點名稱語意相近，資安威脅是威脅的一種特定類型
資料篡改攻擊,attack,資料篡改,attack,0.8974,0.9,節點 A 和節點 B 的名稱語意相近，均指涉及資料篡改的攻擊行為
其他攻擊方式,attack,攻擊手段,attack,0.8972,0.8,節點 A 和節點 B 的名稱語意相近，均指涉攻擊的方法或手段
網路攻擊手法,attack,攻擊手段,attack,0.8968,0.9,網路攻擊手法和攻擊手段在攻擊行為或攻擊手法的本體論類別下具有相似的語意含義
冒名郵件,attack,詐騙郵件,attack,0.8966,0.9,冒名郵件和詐騙郵件都是指以假冒身份或欺騙手法進行的郵件攻擊，語意上相當接近
駭客入侵,attack,入侵攻擊,attack,0.8964,0.9,兩節點名稱語意等價，均指入侵攻擊的行為
dos/ddos 攻擊,attack,ddos攻擊,attack,0.8952,0.9,節點 A 和節點 B 都指稱分布式拒絕服務攻擊
外部入侵,attack,入侵,attack,0.8951,0.8,節點 A 和節點 B 的名稱語意相近，均指涉入侵行為
tcp/ip 連線劫持,attack,連線劫持,attack,0.8939,0.9,節點 A 和節點 B 的名稱語意相近，tcp/ip 連線劫持是一種連線劫持的具體形式
入侵行為,attack,入侵,attack,0.8931,0.9,入侵行為和入侵是同義詞
入侵企圖,attack,入侵,attack,0.892,0.9,入侵企圖和入侵是同義詞，均指嘗試非法闖入系統或網絡
詐騙郵件,attack,欺騙電子郵件,attack,0.891,0.9,詐騙郵件和欺騙電子郵件是同義詞
重送攻擊,attack,重播攻擊,attack,0.8894,0.9,重送攻擊和重播攻擊是同義詞
攻擊行為,attack,惡意攻擊,attack,0.8864,0.8,攻擊行為和惡意攻擊在語意上相近，惡意攻擊是攻擊行為的一種特定類型
病毒程式,attack,電腦病毒,attack,0.8858,0.9,節點 A 和節點 B 都指稱電腦系統中的一種攻擊行為或攻擊手法，病毒程式和電腦病毒是同義詞
釣魚攻擊,attack,網路釣魚攻擊,attack,0.8852,0.9,節點 A 和節點 B 的名稱語意相近，均指涉釣魚攻擊的概念
tcp syn 洪水攻擊,attack,syn 洪水攻擊,attack,0.8848,0.9,tcp syn 洪水攻擊和syn 洪水攻擊是同一種攻擊行為的不同表達形式
xss 攻擊,attack,跨站腳本攻擊 (xss),attack,0.8842,1.0,兩節點名稱語意等價，都是指跨站腳本攻擊
xml外部實體攻擊 (xxe),attack,xml外部實體攻擊,attack,0.884,1.0,節點 A 和節點 B 的名稱語意等價
資料篡改攻擊,attack,竄改攻擊,attack,0.8838,0.9,資料篡改攻擊和竄改攻擊是同義詞
搜尋引擎攻擊,attack,搜尋引擎攻擊 (google-hacking),attack,0.8822,0.9,兩節點名稱語意等價，都是描述搜尋引擎攻擊的行為
各種攻擊,attack,攻擊手段,attack,0.8819,0.8,兩節點名稱語意相近，均指涉攻擊行為或手法
資料竄改,attack,竄改,attack,0.8816,0.9,資料竄改和竄改是同義詞，均指資料被非法修改的攻擊行為
network attack,attack,入侵攻擊,attack,0.8796,0.8,network attack 和 入侵攻擊 都指涉及網路的攻擊行為
阻絕服務攻擊,attack,阻絕服務攻擊 (dos),attack,0.8793,1.0,兩節點名稱語意等價
入侵攻擊,attack,入侵,attack,0.879,0.9,入侵攻擊和入侵是同義詞
阻絕服務攻擊,attack,阻斷服務攻擊 (dos),attack,0.8781,0.9,兩節點名稱語意等價，都是描述阻絕或阻斷服務攻擊的行為
電腦蠕蟲,attack,蠕蟲,attack,0.8772,0.9,電腦蠕蟲和蠕蟲在攻擊行為或攻擊手法的本體論類別下是同義詞
其他攻擊方式,attack,攻擊方法,attack,0.8767,0.9,節點 A 和節點 B 的名稱語意相近，均指涉攻擊行為或手法的類別
阻斷服務攻擊 (dos),attack,阻斷服務攻擊,attack,0.8767,1.0,兩節點名稱語意等價
tcp syn 洪水攻擊,attack,syn洪水攻擊,attack,0.8741,0.9,tcp syn 洪水攻擊和 syn 洪水攻擊是同一種攻擊行為的不同表達方式
監聽攻擊,attack,竊聽攻擊,attack,0.8737,0.9,監聽攻擊和竊聽攻擊是同義詞
http 封包攻擊,attack,網路攻擊封包,attack,0.8724,0.9,節點 A 和節點 B 的名稱語意相近，均指涉及網路封包的攻擊行為
入侵企圖,attack,入侵行為,attack,0.8721,0.9,入侵企圖和入侵行為在攻擊行為或攻擊手法的本體論類別中為同義詞
阻絕服務攻擊 (dos),attack,阻斷服務攻擊,attack,0.8721,0.9,兩節點名稱語意等價，都是指阻絕或阻斷服務的攻擊行為
電腦系統入侵事件,attack,入侵事件,attack,0.8708,0.9,兩節點名稱語意相近，均指涉入侵事件
資安事故,attack,資訊安全事故,attack,0.8704,0.9,兩節點名稱語意等價，都是指資安相關的事件
tcp 封包攻擊,attack,網路攻擊封包,attack,0.8688,0.8,tcp 封包攻擊和網路攻擊封包語意相近，均指涉及網路封包的攻擊行為
未經授權的揭露,attack,未經授權之發佈,attack,0.8682,0.9,兩節點名稱語意等價，均指未經授權的公開
竄改,attack,程式碼篡改,attack,0.8681,0.8,竄改和程式碼篡改都指涉修改原始內容或程式碼，語意上相近
惡意活動,attack,惡意行為,attack,0.8681,0.9,惡意活動和惡意行為在攻擊行為或攻擊手法的本體論類別下是同義詞
各種攻擊,attack,攻擊方法,attack,0.8672,0.9,節點 A 和節點 B 的名稱語意相近，均指涉攻擊行為或攻擊手法
跨站請求偽造,attack,跨站請求偽造攻擊,attack,0.8669,0.9,兩節點名稱語意等價，指稱同一概念
跨站腳本攻擊,attack,跨站指令碼攻擊,attack,0.8658,0.9,跨站腳本攻擊和跨站指令碼攻擊是同義詞
攻擊破解,attack,暴力密碼攻擊,attack,0.8645,0.8,攻擊破解和暴力密碼攻擊都是指嘗試破解密碼的攻擊行為
web 攻擊手法,attack,網頁攻擊,attack,0.8641,0.9,節點 A 和節點 B 的名稱語意等價，都是指網頁攻擊的行為或手法
sql injection 攻擊,attack,注入 (injection) 攻擊,attack,0.8629,0.9,節點 A 和節點 B 的名稱語意等價，均指稱注入攻擊
木馬程式,attack,木馬後門程式,attack,0.8612,0.9,木馬程式和木馬後門程式是同義詞
外部入侵,attack,外部攻擊,attack,0.861,0.9,外部入侵和外部攻擊在攻擊行為或攻擊手法的本體論類別中是同義詞
偽裝攻擊,attack,詐欺攻擊,attack,0.8609,0.8,偽裝攻擊和詐欺攻擊在攻擊行為或攻擊手法的本體論類別中具有相似的語意含義
非法存取,attack,未經授權的存取,attack,0.8606,0.9,兩節點名稱語意等價，均指未經授權的存取行為
外部入侵,attack,駭客入侵,attack,0.8606,0.8,外部入侵和駭客入侵都指涉到攻擊行為或攻擊手法，且兩者在攻擊類型上有重疊
暴力密碼攻擊,attack,暴力攻擊,attack,0.8604,0.9,節點 A 和節點 B 的名稱語意相近，均指涉及暴力手法的攻擊行為
sql injection 隱碼攻擊,attack,sql資料隱碼攻擊,attack,0.8604,0.9,節點A和節點B的名稱語意等價，均指SQL隱碼攻擊
泛洪攻擊,attack,syn洪水攻擊,attack,0.8603,0.9,泛洪攻擊和syn洪水攻擊都是網路攻擊的一種形式，指的是大量的syn請求用於耗盡目標系統的資源
跨站請求偽造攻擊（csrf）,attack,cross-site request forgery,attack,0.8591,1.0,節點 A 和節點 B 分別是跨站請求偽造攻擊的中文和英文名稱，語意等價
dos/ddos 攻擊,attack,dos攻擊,attack,0.8583,0.8,節點 A 和節點 B 都指稱 DOS 攻擊，DDOS 攻擊是 DOS 攻擊的一種特定形式
偽裝攻擊,attack,偽裝攻擊 (masquerade),attack,0.8582,1.0,兩節點名稱語意等價
非法存取,attack,非授權存取,attack,0.858,0.9,非法存取和非授權存取在攻擊行為或攻擊手法的本體論類別中是同義詞
拒絕服務 (dos),attack,拒絕服務,attack,0.858,1.0,節點 A 和節點 B 的名稱語意等價
網路釣魚攻擊,attack,釣魚式攻擊,attack,0.8562,0.9,兩節點名稱語意等價，都是指釣魚攻擊的行為
ddos攻擊,attack,分散式阻斷服務 (ddos) 攻擊,attack,0.8557,1.0,節點 A 和節點 B 的名稱語意等價，都是描述 DDoS 攻擊的不同表達形式
釣魚網頁,attack,網路釣魚,attack,0.8545,0.9,節點 A 和節點 B 的名稱語意等價，均指涉網路釣魚攻擊行為
資通安全事件,attack,電腦安全事件,attack,0.8545,0.8,兩節點名稱語意相近，皆指涉資安事件
