name_a,type_a,name_b,type_b,similarity
tcp 協定,feature,ipsec協定,feature,0.8399630784988403
網絡技術,feature,網際網路層,feature,0.8392518162727356
通訊協定,feature,協定,feature,0.8389462828636169
ssl 協定,feature,tls 協議,feature,0.8372969627380371
連接埠號碼,feature,連接埠,feature,0.8370375633239746
分析層,feature,分析,feature,0.8362682461738586
環境安全,feature,安全性,feature,0.8361754417419434
ip 位址協定,feature,ipsec協定,feature,0.835636556148529
tcp/ip協定組,feature,ipsec協定,feature,0.8354965448379517
ssl/tls 交握協定,feature,ipsec協定,feature,0.8350738883018494
應用程式安全,feature,網路裝置安全,feature,0.8348281383514404
操作安全,feature,安全設定,feature,0.834769606590271
安全性,feature,安全設定,feature,0.8347518444061279
通訊協定,feature,ipsec協定,feature,0.834536075592041
tls/ssl,feature,tls 協議,feature,0.8329377174377441
使用者決定系統保護,feature,使用者決定資料保護措施,feature,0.8324635028839111
安全設定,feature,安全模式,feature,0.8321335315704346
最快恢復時間,feature,故障復原時間,feature,0.8318650722503662
用戶終端安全,feature,安全性,feature,0.8315063714981079
ip 位址協定,feature,tcp/ip協定組,feature,0.8313044309616089
ssl安全交易協定,feature,ipsec協定,feature,0.8306041955947876
特徵碼,feature,流量特徵碼,feature,0.8305479288101196
ip協定,feature,傳輸協定,feature,0.8303812742233276
金鑰封存,feature,金鑰保護機制,feature,0.8301445841789246
核心網路安全,feature,網路裝置安全,feature,0.8300960659980774
tcp 協定,feature,udp 協定,feature,0.8298801183700562
加密,feature,tls,feature,0.8293248414993286
ip協定,feature,tls 協定,feature,0.8288770914077759
操作安全,feature,資產安全,feature,0.8283171057701111
應用程式安全,feature,應用程式域安全 (application domain security),feature,0.8270753622055054
ipv4,feature,ipv6,feature,0.8270591497421265
私人ipv4位址,feature,ip 位址,feature,0.8268939852714539
通訊協定,feature,dhcp 協定,feature,0.8257194757461548
ssl安全交易協定,feature,tls 協定,feature,0.8253417015075684
金鑰保護機制,feature,實體保護機制,feature,0.8250378966331482
操作安全,feature,安全工程,feature,0.8245016932487488
防火措施,feature,防火材料,feature,0.8243643045425415
dhcp 協定,feature,協定,feature,0.8235227465629578
感應天線,feature,感應器,feature,0.8224121928215027
堆疊 (stack),feature,堆積 (heap),feature,0.8223723769187927
ip 層,feature,傳輸層,feature,0.8220565319061279
ip 層,feature,實體層,feature,0.8211826086044312
資料鏈結層,feature,連結層,feature,0.8210018873214722
傳輸協定,feature,協定,feature,0.8208000659942627
應用程式安全,feature,用戶終端安全,feature,0.8206093907356262
核心網路安全,feature,用戶終端安全,feature,0.8200554251670837
網路協定,feature,傳輸協定,feature,0.8198346495628357
權限設定,feature,使用者權限,feature,0.819814920425415
密碼模組進出埠與存取介面,feature,密碼模組介面,feature,0.8193185329437256
dhcp 協定,feature,udp 協定,feature,0.8192863464355469
資產安全,feature,交易安全,feature,0.8188514113426208
傳輸協定,feature,tls 協定,feature,0.8188000321388245
實體控制,feature,技術控制,feature,0.8185396790504456
網路協定,feature,dhcp 協定,feature,0.8185009956359863
金鑰封存,feature,加密,feature,0.8182880282402039
udp/tcp 協定,feature,dhcp 協定,feature,0.8177268505096436
ike,feature,exe,feature,0.8176646828651428
網路分享,feature,共享資源,feature,0.817648708820343
ip 層,feature,資料庫層,feature,0.8172720074653625
實體控制,feature,控制項,feature,0.8171833753585815
icmp echo request,feature,icmp,feature,0.8171589374542236
ip 位址協定,feature,dhcp 協定,feature,0.8168383836746216
關聯表綱要,feature,關聯表實例,feature,0.8168202638626099
操作安全,feature,網路裝置安全,feature,0.8167637586593628
網際網路層,feature,網路存取層,feature,0.8160481452941895
安全性,feature,交易安全,feature,0.8157866597175598
用戶終端安全,feature,安全設定,feature,0.8157052397727966
應用程式安全,feature,操作安全,feature,0.8150413036346436
http,feature,http cookie,feature,0.813507616519928
ip,feature,icmp,feature,0.813435435295105
users,feature,使用者權限,feature,0.8131188750267029
通訊協定,feature,安全性較低之通訊協定,feature,0.8127830028533936
網路存取安全,feature,用戶終端安全,feature,0.812502920627594
加密,feature,tls/ssl,feature,0.8117070198059082
網絡技術,feature,wifi 通訊技術,feature,0.8111221790313721
port 137/139/445,feature,port 137,feature,0.8110224604606628
ssl安全交易協定,feature,tls 協議,feature,0.810978889465332
ipv4,feature,ip 架構,feature,0.8107820749282837
ipv4,feature,ip 位址,feature,0.8106607794761658
識別網路是否安全,feature,網路裝置安全,feature,0.8106561303138733
交叉錯誤率 (cer),feature,交叉錯誤率,feature,0.810178279876709
cer,feature,ike,feature,0.8091083765029907
osi 第 7 層,feature,l7 layer,feature,0.8090626001358032
實體安全,feature,安全工程,feature,0.8090474605560303
操作安全,feature,交易安全,feature,0.8084802627563477
傳輸協定,feature,dhcp 協定,feature,0.8077692985534668
ip,feature,ip 網路,feature,0.8077507019042969
實體安全,feature,系統及安全性,feature,0.8075710535049438
實體控制,feature,人員控制,feature,0.8075664639472961
ip 位址協定,feature,網路協定,feature,0.807530403137207
http,feature,web service,feature,0.8073849081993103
tcp/ip協定組,feature,通訊協定,feature,0.8069177269935608
ip 位址協定,feature,協定,feature,0.8068893551826477
網絡技術,feature,加密技術,feature,0.8065688014030457
權限設定,feature,安全設定,feature,0.8064709305763245
協定,feature,udp 協定,feature,0.8064523339271545
網路協定,feature,tcp/ip協定組,feature,0.8064100742340088
協定,feature,ssl 協定,feature,0.8059895038604736
操作安全,feature,安全模式,feature,0.8058813810348511
埠號,feature,服務埠,feature,0.8055117726325989
實體安全,feature,實體保護機制,feature,0.8053309917449951
程式化保護功能,feature,實體保護機制,feature,0.8049710988998413
用戶終端安全,feature,資產安全,feature,0.8047630786895752
動態特徵,feature,屬性,feature,0.8045039772987366
堆疊,feature,堆積 (heap),feature,0.803756833076477
動態特徵,feature,生理特徵,feature,0.8035973310470581
應用程式安全,feature,實體安全,feature,0.8033676147460938
authorization,feature,oauth,feature,0.8032692670822144
網絡技術,feature,無線通訊技術,feature,0.8030103445053101
資產安全,feature,建築物安全,feature,0.8028157949447632
網路存取安全,feature,核心網路安全,feature,0.8024839162826538
感知層,feature,傳輸層,feature,0.8015486001968384
開放連接埠,feature,通訊埠,feature,0.8012493848800659
users,feature,使用者介面,feature,0.8003177642822266
專案管理,function,專案計畫管理,function,0.9822788238525391
非對稱加密,function,非對稱式加密,function,0.9808715581893921
身分驗證,function,身分認證,function,0.9703220129013062
風險分析與評鑑,function,風險分析,function,0.9406158924102783
網站安全開發,function,安全開發,function,0.9393344521522522
資安稽核,function,安全稽核,function,0.9218283891677856
演算法,function,雜湊演算法,function,0.914070725440979
安全稽核,function,稽核與安全監視,function,0.9099268913269043
資安設備管理,function,設備管理,function,0.907163143157959
網路存取控管,function,存取控管,function,0.9026378393173218
資安事件管理,function,資安警訊管理,function,0.9011842012405396
資安稽核,function,稽核與安全監視,function,0.8993526101112366
資安事件管理,function,事件管理,function,0.8971129655838013
權限管理,function,管理,function,0.8971114754676819
身份鑑別,function,身分認證,function,0.8922248482704163
身分驗證,function,身份鑑別,function,0.889877200126648
集中權限控管,function,權限控管,function,0.8866589665412903
資料保密,function,資料加密,function,0.8845471739768982
帳號管理,function,管理,function,0.87944495677948
安全事件管理,function,事件管理,function,0.8791979551315308
管理,function,設備管理,function,0.8782267570495605
訊息加密,function,訊息解密,function,0.876450777053833
資安事件管理,function,資安事件監看,function,0.8764472603797913
管制人員出入,function,進出通道管制,function,0.8758353590965271
安全稽核,function,安全架構審查,function,0.87459796667099
查詢功能,function,查詢,function,0.8742107152938843
安全事件管理,function,資安事件管理,function,0.8741167783737183
計帳 (accounting),function,accounting,function,0.8727089166641235
金鑰管理,function,憑證管理,function,0.8719850778579712
系統存取控制管理,function,存取控管,function,0.8717544078826904
權限管理,function,帳號管理,function,0.869925856590271
開發與測試,function,應用軟體開發與測試,function,0.8666893243789673
權限管理,function,權限控管,function,0.8661448359489441
保密功能,function,密碼功能,function,0.8654930591583252
安全稽核,function,安全營運,function,0.8580660820007324
管理,function,日誌管理,function,0.8560259342193604
解密,function,訊息解密,function,0.8545714616775513
威脅偵測,function,威脅評估,function,0.8544592261314392
管理,function,事件管理,function,0.8533798456192017
安全程序演算法,function,演算法,function,0.8528009653091431
區塊加密,function,aes加密,function,0.8510805368423462
審查,function,稽核與確認,function,0.8505389094352722
資安弱點管理,function,資安警訊管理,function,0.8497650623321533
資源管理,function,管理,function,0.8481379747390747
資安警訊管理,function,資安設備管理,function,0.8478245139122009
安全事件管理,function,資安設備管理,function,0.8458311557769775
管理,function,資訊管理,function,0.8448049426078796
系統存取控制管理,function,系統監控,function,0.8446234464645386
辨識,function,辨識功能,function,0.8434329032897949
權限管理,function,憑證管理,function,0.8433642387390137
資安稽核,function,稽核與確認,function,0.8423725366592407
風險管理,function,風險分析,function,0.8418674468994141
資安稽核,function,安全架構審查,function,0.8399940729141235
偵測層級,function,辨識層級,function,0.8386076092720032
安全稽核,function,稽核與確認,function,0.8375979065895081
資料庫管理,function,資訊管理,function,0.837031364440918
資安事件管理,function,資安設備管理,function,0.8357332944869995
區塊加密,function,資料加密,function,0.83528733253479
人力資源管理,function,資源管理,function,0.8350547552108765
雜湊,function,雜湊計算,function,0.8330041170120239
審查,function,安全架構審查,function,0.8309186697006226
管理,function,缺陷管理,function,0.8287241458892822
網路存取控管,function,系統存取控制管理,function,0.8283288478851318
帳號管理,function,憑證管理,function,0.8278667330741882
安全事件管理,function,安全營運,function,0.8278380036354065
資安稽核,function,審查,function,0.8270151019096375
安全存取控制,function,存取控管,function,0.8267150521278381
系統存取控制管理,function,安全存取控制,function,0.8265916109085083
權限管理,function,資源管理,function,0.826264500617981
數位憑證認證,function,身分認證,function,0.8255259394645691
帳號管理,function,日誌管理,function,0.8252887725830078
身分驗證,function,身份驗證流程,function,0.8248534798622131
身份驗證流程,function,身分認證,function,0.8248307108879089
管理,function,專案管理,function,0.8241382837295532
管理,function,防火牆管理,function,0.8237902522087097
雜湊演算法,function,雜湊計算,function,0.8234070539474487
憑證管理,function,資安警訊管理,function,0.822953462600708
稽核與確認,function,稽核與安全監視,function,0.8216580152511597
安全事件管理,function,安全稽核,function,0.820897102355957
即時監看資安事件,function,資安事件監看,function,0.8206300735473633
權限管理,function,權限管理 (authorization),function,0.8206166625022888
感測功能,function,辨識功能,function,0.820563018321991
aes加密,function,資料加密,function,0.8204725384712219
安全事件管理,function,資安警訊管理,function,0.81940096616745
特定演算法,function,演算法,function,0.819129228591919
資安事故處理,function,資安事件管理,function,0.8187533617019653
風險管理,function,風險分析與評鑑,function,0.818329930305481
資安弱點管理,function,資安事件管理,function,0.8177527785301208
雜湊函數,function,雜湊計算,function,0.8174446225166321
威脅偵測,function,偵測,function,0.8172295689582825
網路存取控管,function,安全存取控制,function,0.817179262638092
行程管理,function,日誌管理,function,0.8170038461685181
資安弱點管理,function,資安設備管理,function,0.8169764280319214
權限管理,function,事件管理,function,0.8168566823005676
資訊保護與維護,function,保護措施,function,0.8162078857421875
認證功能,function,密碼功能,function,0.8160128593444824
非對稱加密,function,對稱密鑰加密,function,0.8142842054367065
檔案管理,function,資料庫管理,function,0.8141824007034302
保密功能,function,資料保密,function,0.8129132390022278
區塊加密,function,對稱密鑰加密,function,0.8121238946914673
資安警訊管理,function,事件管理,function,0.8120764493942261
安全架構審查,function,稽核與安全監視,function,0.8104453086853027
設備管理,function,事件管理,function,0.8101273775100708
權限管理,function,資安警訊管理,function,0.8096836805343628
aes加密,function,對稱密鑰加密,function,0.8087800145149231
審查,function,安全稽核,function,0.8084813952445984
訊息加密,function,aes加密,function,0.8075131773948669
資安弱點管理,function,缺陷管理,function,0.8075112104415894
審查,function,驗章,function,0.8068491220474243
區塊加密,function,訊息加密,function,0.8059638142585754
辨識層級,function,辨識,function,0.8058472275733948
身分驗證,function,驗章,function,0.8058236837387085
認證功能,function,辨識功能,function,0.8055479526519775
金鑰管理,function,帳號管理,function,0.805016040802002
權限管理,function,防火牆管理,function,0.8033286333084106
權限管理,function,資訊管理,function,0.8033030033111572
權限控管,function,存取控管,function,0.8026167154312134
防火牆管理,function,電腦網路管理,function,0.8025416731834412
驗章,function,稽核與確認,function,0.8023099899291992
非對稱式加密,function,對稱密鑰加密,function,0.801555335521698
驗章,function,身分認證,function,0.8006744384765625
等級審核,function,審查,function,0.8004844784736633
資安弱點管理,function,憑證管理,function,0.8004350662231445
阻絕服務攻擊 (dos),attack,阻斷服務攻擊 (dos),attack,0.9964033961296082
阻絕服務攻擊,attack,阻斷服務攻擊,attack,0.9913363456726074
身份盜竊,attack,身份竊盜,attack,0.9902316331863403
ic 卡攻擊,attack,ic卡攻擊,attack,0.9892746210098267
中間人攻擊(mitm),attack,中間人攻擊 (mitm),attack,0.9891273975372314
syn 洪水攻擊,attack,syn洪水攻擊,attack,0.9795167446136475
惡意軟體之攻擊,attack,惡意軟體攻擊,attack,0.9794834852218628
邏輯攻擊,attack,邏輯性攻擊,attack,0.9794343709945679
未經授權存取,attack,未授權存取,attack,0.9767965078353882
網路安全威脅,attack,物聯網安全威脅,attack,0.9745697379112244
密碼破解攻擊,attack,密碼攻擊,attack,0.9744309782981873
未經授權存取,attack,未經授權的存取,attack,0.9730441570281982
分散式阻斷服務 (ddos) 攻擊,attack,分散式阻斷服務攻擊 (ddos),attack,0.9727051258087158
分散式阻斷服務 (ddos),attack,分散式阻斷服務攻擊 (ddos),attack,0.9726115465164185
資料篡改,attack,資料竄改,attack,0.9722652435302734
未授權存取,attack,未經授權的存取,attack,0.9703539609909058
dos/ddos 攻擊,attack,ddos 攻擊,attack,0.9696226119995117
network attack,attack,網路攻擊,attack,0.9676204919815063
網路攻擊,attack,物聯網攻擊,attack,0.9647656083106995
篡改,attack,竄改,attack,0.9609774351119995
暴力密碼攻擊,attack,密碼攻擊,attack,0.96082603931427
竊取,attack,盜竊,attack,0.9602461457252502
內部非授權人員威脅,attack,內部授權人員威脅,attack,0.959396243095398
網路安全威脅,attack,網路威脅,attack,0.9587224125862122
smurf attack,attack,smurf 攻擊,attack,0.9565070271492004
network attack,attack,物聯網攻擊,attack,0.9520453214645386
sql injection 攻擊,attack,sql injection 隱碼攻擊,attack,0.9517511129379272
未授權存取,attack,非授權存取,attack,0.951727032661438
電腦病毒,attack,病毒,attack,0.9516652822494507
彩虹表攻擊,attack,彩虹攻擊,attack,0.9462412595748901
分散式阻斷服務 (ddos),attack,分散式阻斷服務 (ddos) 攻擊,attack,0.9455757737159729
未經授權的存取,attack,非授權存取,attack,0.9447020292282104
資訊安全威脅,attack,網路安全威脅,attack,0.9446598291397095
攻擊方法,attack,攻擊手段,attack,0.9431159496307373
密碼驗證攻擊,attack,密碼攻擊,attack,0.9430385231971741
魚叉式網路釣魚,attack,網路釣魚,attack,0.9414627552032471
隱碼攻擊,attack,密碼攻擊,attack,0.9409707188606262
駭客攻擊,attack,網路攻擊,attack,0.9401057958602905
密碼破解攻擊,attack,暴力密碼攻擊,attack,0.93921959400177
未經授權存取,attack,非授權存取,attack,0.9380332827568054
tcp/ip 連線劫持,attack,tcp/ip 劫持,attack,0.9364975690841675
密碼驗證攻擊,attack,密碼破解攻擊,attack,0.9333471059799194
物聯網安全威脅,attack,網路威脅,attack,0.9328522086143494
隱碼攻擊,attack,資料隱碼攻擊,attack,0.9319093227386475
網路攻擊,attack,網頁攻擊,attack,0.931582510471344
資訊安全威脅,attack,資安威脅,attack,0.9309480786323547
攻擊破解,attack,密碼破解攻擊,attack,0.930385947227478
帳號盜用,attack,盜用帳號及密碼,attack,0.9290064573287964
駭客攻擊,attack,物聯網攻擊,attack,0.9279021620750427
資料篡改攻擊,attack,資料干擾攻擊,attack,0.9267476201057434
ddos 攻擊,attack,ddos攻擊,attack,0.9252696633338928
內部威脅,attack,內部授權人員威脅,attack,0.9248762726783752
駭客攻擊,attack,駭客入侵,attack,0.924095630645752
物聯網攻擊,attack,網頁攻擊,attack,0.9233577251434326
搜尋引擎攻擊,attack,網頁攻擊,attack,0.9225854277610779
電腦犯罪,attack,網路犯罪,attack,0.9225550889968872
駭客攻擊,attack,network attack,attack,0.9220731854438782
病毒攻擊,attack,網路攻擊,attack,0.9219710826873779
資料干擾攻擊,attack,資料隱碼攻擊,attack,0.9216505885124207
隱碼攻擊,attack,密碼破解攻擊,attack,0.9214895963668823
勒索軟體攻擊,attack,惡意軟體攻擊,attack,0.9213371276855469
病毒攻擊,attack,駭客攻擊,attack,0.9200395941734314
網路攻擊手法,attack,web 攻擊手法,attack,0.9194235801696777
釣魚攻擊,attack,釣魚式攻擊,attack,0.9189022183418274
駭客攻擊,attack,密碼攻擊,attack,0.9186102747917175
資訊安全威脅,attack,物聯網安全威脅,attack,0.9184513688087463
隱碼攻擊,attack,暴力密碼攻擊,attack,0.917110025882721
資安事件,attack,資通安全事件,attack,0.9161316156387329
ddos攻擊,attack,ddos,attack,0.9154699444770813
惡意入侵事件,attack,入侵事件,attack,0.9153215289115906
帳號盜用,attack,冒用帳號,attack,0.9151754379272461
駭客攻擊,attack,網頁攻擊,attack,0.9140689373016357
密碼破解攻擊,attack,駭客攻擊,attack,0.9126911163330078
勒索病毒,attack,病毒,attack,0.9121713638305664
網路安全威脅,attack,資安威脅,attack,0.9121561050415039
資料隱碼攻擊,attack,密碼攻擊,attack,0.9114883542060852
dns 放大攻擊,attack,dns攻擊,attack,0.9113118648529053
分散式阻斷服務攻擊,attack,阻斷服務攻擊,attack,0.910581648349762
tcp 封包攻擊,attack,http 封包攻擊,attack,0.9100170135498047
udp 封包攻擊,attack,tcp 封包攻擊,attack,0.9077774286270142
網路攻擊手法,attack,攻擊方法,attack,0.9076577425003052
電腦犯罪,attack,犯罪,attack,0.907425582408905
威脅,attack,入侵威脅,attack,0.906997799873352
密碼驗證攻擊,attack,暴力密碼攻擊,attack,0.9059097766876221
電腦安全事件,attack,資訊安全事故,attack,0.9057601094245911
潛在威脅,attack,威脅,attack,0.9056029915809631
入侵攻擊,attack,網路攻擊,attack,0.905211865901947
攻擊破解,attack,漏洞利用攻擊,attack,0.9051607847213745
阻絕服務攻擊,attack,分散式阻斷服務攻擊,attack,0.9050363898277283
資料隱碼攻擊,attack,sql資料隱碼攻擊,attack,0.9047359824180603
網路竊聽,attack,竊聽,attack,0.9038105607032776
資訊安全威脅,attack,網路威脅,attack,0.9037579894065857
勒索程式,attack,勒索軟體,attack,0.9036102294921875
惡意軟體之攻擊,attack,勒索軟體攻擊,attack,0.9035913944244385
攻擊行為,attack,暴力攻擊,attack,0.9028533697128296
內部威脅,attack,內部非授權人員威脅,attack,0.9025959968566895
攻擊破解,attack,密碼攻擊,attack,0.9023804664611816
注入攻擊,attack,注入 (injection) 攻擊,attack,0.9022964835166931
udp 泛洪攻擊,attack,udp 封包攻擊,attack,0.9022750854492188
跨網站腳本攻擊,attack,跨站腳本攻擊,attack,0.9015411138534546
資料篡改攻擊,attack,資料隱碼攻擊,attack,0.9015305042266846
勒索病毒,attack,電腦病毒,attack,0.9009623527526855
搜尋引擎攻擊,attack,駭客攻擊,attack,0.9006048440933228
病毒程式,attack,病毒,attack,0.9004588723182678
tcp syn 洪水攻擊,attack,tcp syn flood 攻擊,attack,0.900288462638855
入侵事件,attack,入侵,attack,0.89998459815979
病毒攻擊,attack,物聯網攻擊,attack,0.8997080326080322
駭客攻擊,attack,入侵攻擊,attack,0.8990648984909058
注入攻擊,attack,入侵攻擊,attack,0.8989338278770447
密碼攻擊,attack,網路攻擊,attack,0.8988058567047119
資安威脅,attack,威脅,attack,0.8983051776885986
搜尋引擎攻擊,attack,網路攻擊,attack,0.8980414867401123
資料篡改攻擊,attack,資料篡改,attack,0.8974200487136841
其他攻擊方式,attack,攻擊手段,attack,0.8971986770629883
勒索病毒,attack,wannacry勒索病毒,attack,0.8970862627029419
網路攻擊手法,attack,攻擊手段,attack,0.8968101739883423
冒名郵件,attack,詐騙郵件,attack,0.8966285586357117
駭客入侵,attack,入侵攻擊,attack,0.8963744640350342
跨網站腳本攻擊,attack,網頁攻擊,attack,0.8958327174186707
實體安全威脅,attack,資安威脅,attack,0.8954812288284302
dos/ddos 攻擊,attack,ddos攻擊,attack,0.8951635360717773
病毒攻擊,attack,網頁攻擊,attack,0.8950597643852234
外部入侵,attack,入侵,attack,0.895056426525116
物聯網安全威脅,attack,資安威脅,attack,0.8946810960769653
tcp/ip 連線劫持,attack,連線劫持,attack,0.893921971321106
dos攻擊,attack,ddos攻擊,attack,0.8931666612625122
網路威脅,attack,資安威脅,attack,0.8930792808532715
入侵行為,attack,入侵,attack,0.893062949180603
密碼驗證攻擊,attack,隱碼攻擊,attack,0.8930138349533081
實體攻擊,attack,破解實體安全攻擊,attack,0.8928475379943848
搜尋引擎攻擊,attack,物聯網攻擊,attack,0.8924674987792969
密碼破解攻擊,attack,金鑰竊取攻擊,attack,0.892053484916687
入侵企圖,attack,入侵,attack,0.8920222520828247
網路釣魚攻擊,attack,網路攻擊,attack,0.8914206027984619
network attack,attack,密碼攻擊,attack,0.8913505673408508
勒索軟體攻擊,attack,勒索軟體,attack,0.8912874460220337
詐騙郵件,attack,欺騙電子郵件,attack,0.8909841179847717
密碼攻擊,attack,金鑰竊取攻擊,attack,0.8904035091400146
入侵攻擊,attack,物聯網攻擊,attack,0.8901978731155396
network attack,attack,網頁攻擊,attack,0.8896811008453369
重送攻擊,attack,重播攻擊,attack,0.8894271850585938
網路攻擊,attack,dns攻擊,attack,0.88905930519104
散布電腦病毒,attack,電腦病毒,attack,0.8881446719169617
資訊安全威脅,attack,實體安全威脅,attack,0.8880325555801392
ddos攻擊,attack,dns攻擊,attack,0.88759845495224
網路威脅,attack,威脅,attack,0.8871825933456421
攻擊行為,attack,惡意攻擊,attack,0.8864075541496277
潛在威脅,attack,資安威脅,attack,0.8861334919929504
病毒程式,attack,電腦病毒,attack,0.8857803344726562
犯罪,attack,網路犯罪,attack,0.885574460029602
密碼破解攻擊,attack,資料隱碼攻擊,attack,0.8853470683097839
憑證填充攻擊,attack,密碼驗證攻擊,attack,0.88517826795578
釣魚攻擊,attack,網路釣魚攻擊,attack,0.885171115398407
tcp syn 洪水攻擊,attack,syn 洪水攻擊,attack,0.884846568107605
xss 攻擊,attack,跨站腳本攻擊 (xss),attack,0.8841995000839233
加密劫持,attack,加密貨幣劫持,attack,0.884053111076355
xml外部實體攻擊 (xxe),attack,xml外部實體攻擊,attack,0.8839774131774902
企業機密外洩,attack,隱私外洩,attack,0.883849024772644
資料篡改攻擊,attack,竄改攻擊,attack,0.8837692737579346
攻擊破解,attack,破解實體安全攻擊,attack,0.8836120367050171
病毒攻擊,attack,入侵攻擊,attack,0.8829451203346252
攻擊破解,attack,隱碼攻擊,attack,0.8827478885650635
